id,star,current,officer_id,created_at,updated_at
754,13414,false,573,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
755,21176,false,573,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
756,20106,false,574,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
757,20798,false,574,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
758,6423,false,575,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
760,2319,false,575,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
761,21799,true,575,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
762,11272,false,576,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
763,20841,true,576,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
766,2368,false,579,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
767,3712,true,579,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
773,2294,false,584,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
774,13003,false,584,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
797,2399,false,608,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
798,2894,false,608,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
801,11288,false,610,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
802,11217,false,610,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
807,9047,false,615,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
808,9457,false,615,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
816,13552,false,621,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
817,3245,true,621,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
818,6059,false,621,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
822,390,false,624,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
823,1589,false,624,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
830,6452,false,627,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
831,2403,false,627,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
832,12041,false,628,2019-01-09T04:42:05.174474Z,2019-01-09T04:42:05.332576Z
