id,race,count,area_id,created_at,updated_at
219,White,388,465,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
220,Other,258,465,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
221,Asian,59,466,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
222,Black,9553,466,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
223,Hispanic,62,466,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
224,White,53,466,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
225,Other,86,466,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
226,Asian,116,467,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
227,Black,20818,467,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
228,Hispanic,6083,467,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
229,White,782,467,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
230,Other,296,467,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
231,Asian,0,468,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
232,Black,2601,468,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
233,Hispanic,0,468,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
234,White,0,468,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
235,Other,0,468,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
236,Asian,5,469,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
237,Black,12835,469,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
238,Hispanic,443,469,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
239,White,308,469,2019-01-09T04:42:13.931561Z,2019-01-09T04:42:13.960803Z
